X,Y,Z
0.0,-4.467878509911269e-14,-145.49956879033024
4.379952720576449,-2.5287668822626896,-147.54804501477327
9.046665084184326,-5.223094521622251,-149.53133897823506
13.999918493356285,-8.08285671077211,-151.4194971191043
19.237863828508047,-11.106985860022522,-153.18134601553305
24.756738509095037,-14.29330964248323,-154.78463892835475
30.550610816681484,-17.638403378918582,-156.1962587283877
36.61115671662865,-21.13746118568916,-157.38247323595664
42.92747424359601,-24.784188810170914,-158.30923744117268
49.48593997249506,-28.570720764221715,-158.94253566230208
56.27011125160649,-32.48756387844522,-159.2487555364102
63.26067681138509,-36.52356878617112,-159.19508489431567
-4.379952720576449,-2.5287668822626896,-147.54804501477327
0.0,-5.147802562059578,-149.72048966324584
4.669286279221473,-7.932317378997553,-151.82743230073262
9.628425293628279,-10.881517286989371,-153.838475819353
14.87626412619952,-13.993593667532544,-155.72198499851083
20.409697169217054,-17.26556614940767,-157.44524167977238
26.223412103164264,-20.693142860810262,-158.97465589394378
32.30966781647295,-24.270601070489192,-160.27602862465065
38.65810939727028,-27.990690983919144,-161.31486036618696
45.25562473965606,-31.844565070167707,-162.05669827581852
52.08624643457255,-35.821734749523955,-162.46751362485912
59.13110154142939,-39.91005562124301,-162.51410048249622
-9.046665084184326,-5.223094521622251,-149.53133897823506
-4.669286279221473,-7.932317378997553,-151.82743230073262
0.0,-10.806374888232998,-154.05761552772088
4.962471382362493,-13.843787308924568,-156.19114626269933
10.217702779828366,-17.041995166950773,-158.19603067361913
15.763288292731515,-20.397209354204062,-160.0391849923458
21.59458869185499,-23.904280068308108,-161.68665207597408
27.70450990175419,-27.55658741521533,-163.10386848204882
34.08331763655562,-31.345956232958766,-164.25597604496423
40.718492732584146,-35.26259724947172,-165.1081706574009
47.594630851532585,-39.29507610790984,-165.62607994188838
54.69338917323528,-43.430311129520305,-165.77616079702364
-13.999918493356285,-8.08285671077211,-151.4194971191043
-9.628425293628279,-10.881517286989371,-153.838475819353
-4.962471382362493,-13.843787308924568,-156.19114626269933
0.0,-16.96749455680575,-158.44653255799506
5.259324113567492,-20.249331208204705,-160.57239799169338
10.813839299314655,-23.684712008392363,-162.53541013935575
16.659635795161297,-27.267652340085988,-164.30135973560306
22.790334206254172,-30.990668830678747,-165.8354286534712
29.19689875895032,-34.84470481766498,-167.10250096563163
35.86748987036451,-38.81908251653901,-168.06750986562676
42.78735972596684,-42.90148314663689,-168.69581228938668
49.93879355180535,-47.07795561750313,-168.95358243878087
-19.237863828508047,-11.106985860022522,-153.18134601553305
-14.87626412619952,-13.993593667532544,-155.72198499851083
-10.217702779828366,-17.041995166950773,-158.19603067361913
-5.259324113567492,-20.249331208204705,-160.57239799169338
0.0,-23.611561443081982,-162.81873448664106
5.559397597717967,-27.123330999334517,-164.90158595475427
11.415746615910273,-30.777857719118472,-166.78661423363985
17.563452762075237,-34.56684238232332,-168.43886247484653
23.994260337104812,-38.480403988765495,-169.82306203127234
30.697100515658207,-42.50704169025759,-170.90397398453572
37.657980812771285,-46.63362438901128,-171.64675747911198
44.85991853595447,-50.84540839725977,-172.01735644174346
-24.756738509095037,-14.29330964248323,-154.78463892835475
-20.409697169217054,-17.26556614940767,-157.44524167977238
-15.763288292731515,-20.397209354204062,-160.0391849923458
-10.813839299314655,-23.684712008392363,-162.53541013935575
-5.559397597717967,-27.123330999334517,-164.90158595475427
0.0,-30.70698257994428,-167.10427179768453
5.862078318391897,-34.42813840614865,-169.10913066707434
12.02210053241601,-38.277744571722735,-170.8811880528983
18.472675525979238,-42.24516547840231,-172.38513095690303
25.2036003669486,-46.31815391321895,-173.58564052243887
32.20174167742106,-50.48284816597191,-174.44775092905556
39.45095885283731,-54.723796447031106,-174.9372266556055
-30.550610816681484,-17.638403378918582,-156.1962587283877
-26.223412103164264,-20.693142860810262,-158.97465589394378
-21.59458869185499,-23.904280068308108,-161.68665207597408
-16.659635795161297,-27.267652340085988,-164.30135973560306
-11.415746615910273,-30.777857719118472,-166.78661423363985
-5.862078318391897,-34.42813840614865,-169.10913066707434
0.0,-38.2102848359468,-171.23470868107515
6.166682367666765,-42.114562340151856,-173.12848118189748
12.631528863560751,-46.12966202655265,-174.75520185008324
19.38530082930498,-50.24267707687506,-176.07956546351264
26.41583220799628,-54.43910517964754,-177.06655432330209
33.707940151546204,-58.70287730468569,-177.68180354645745
-36.61115671662865,-21.13746118568916,-157.38247323595664
-32.30966781647295,-24.270601070489192,-160.27602862465065
-27.70450990175419,-27.55658741521533,-163.10386848204882
-22.790334206254172,-30.990668830678747,-165.8354286534712
-17.563452762075237,-34.56684238232332,-168.43886247484653
-12.02210053241601,-38.277744571722735,-170.8811880528983
-6.166682367666765,-42.114562340151856,-173.12848118189748
0.0,-46.06696585329625,-175.1461102964225
6.472545583879307,-50.12306453042742,-176.89900896571754
13.242780743431373,-54.26938740957765,-178.3519806471346
20.29961865919013,-58.49088852258409,-179.47002976017714
27.628955033963425,-62.77097751672604,-180.2187126254456
-42.92747424359601,-24.784188810170914,-158.30923744117268
-38.65810939727028,-27.990690983919144,-161.31486036618696
-34.08331763655562,-31.345956232958766,-164.25597604496423
-29.19689875895032,-34.84470481766498,-167.10250096563163
-23.994260337104812,-38.480403988765495,-169.82306203127234
-18.472675525979238,-42.24516547840231,-172.38513095690303
-12.631528863560751,-46.12966202655265,-174.75520185008324
-6.472545583879307,-50.12306453042742,-176.89900896571754
0.0,-54.21300116385844,-178.78178086542675
6.779101296955077,-58.38553951186733,-180.36852652337103
13.854865373442227,-62.625192426340924,-181.6243483203349
21.21439159187899,-66.91494795149029,-182.51477635620813
-49.48593997249506,-28.570720764221715,-158.94253566230208
-45.25562473965606,-31.844565070167707,-162.05669827581852
-40.718492732584146,-35.26259724947172,-165.1081706574009
-35.86748987036451,-38.81908251653901,-168.06750986562676
-30.697100515658207,-42.50704169025759,-170.90397398453572
-25.2036003669486,-46.31815391321895,-173.58564052243887
-19.38530082930498,-50.24267707687506,-176.07956546351264
-13.242780743431373,-54.26938740957765,-178.3519806471346
-6.779101296955077,-58.38553951186733,-180.36852652337103
0.0,-62.5768479016059,-182.09451674315878
7.0859402483150085,-66.82749087787647,-183.4952304966345
14.467150772133426,-71.12013723981046,-184.5362280068669
-56.27011125160649,-32.48756387844522,-159.2487555364102
-52.08624643457255,-35.821734749523955,-162.46751362485912
-47.594630851532585,-39.29507610790984,-165.62607994188838
-42.78735972596684,-42.90148314663689,-168.69581228938668
-37.657980812771285,-46.63362438901128,-171.64675747911198
-32.20174167742106,-50.48284816597191,-174.44775092905556
-26.41583220799628,-54.43910517964754,-177.06655432330209
-20.29961865919013,-58.49088852258409,-179.47002976017714
-13.854865373442227,-62.625192426340924,-181.6243483203349
-7.0859402483150085,-66.82749087787647,-183.4952304966345
0.0,-71.08173707856578,-185.04821544164255
7.392848709963593,-75.37038453546225,-186.24895549520593
-63.26067681138509,-36.52356878617112,-159.19508489431567
-59.13110154142939,-39.91005562124301,-162.51410048249622
-54.69338917323528,-43.430311129520305,-165.77616079702364
-49.93879355180535,-47.07795561750313,-168.95358243878087
-44.85991853595447,-50.84540839725977,-172.01735644174346
-39.45095885283731,-54.723796447031106,-174.9372266556055
-33.707940151546204,-58.70287730468569,-177.68180354645745
-27.628955033963425,-62.77097751672604,-180.2187126254456
-21.21439159187899,-66.91494795149029,-182.51477635620813
-14.467150772133426,-71.12013723981046,-184.5362280068669
-7.392848709963593,-75.37038453546225,-186.24895549520593
0.0,-79.6480326924933,-187.6187728102872
0.0,5.057533764525255,-147.54804501477327
4.458127792410177,2.5739012810297304,-149.72048966324581
9.204231500703383,-0.07756184584919547,-151.82743230073265
14.23788304906642,-2.8977022592280997,-153.83847581935294
19.556939669419965,-5.88642581292968,-155.72198499851083
25.157267480716207,-9.042533157385526,-157.44524167977238
31.032493453184372,-12.363569624843475,-158.97465589394372
37.173791000397884,-15.845692581657522,-160.27602862465065
43.56970416018911,-19.483559308354454,-161.3148603661869
50.20601469305983,-23.270238153593848,-162.0566982758185
57.0656555180018,-27.19714522535452,-162.46751362485915
64.12867280516107,-31.254008278013558,-162.51410048249622
-4.458127792410177,2.5739012810297304,-149.72048966324581
0.0,-3.5489909812305725e-14,-152.0267669974189
4.749088209765002,-2.7418873563131356,-154.26721603646573
9.789429046840844,-5.6519294954063355,-156.4109184815822
15.119549403830732,-8.72927591832755,-158.4256982315619
20.735936224532807,-11.971898361132958,-160.2782877821593
26.632789982686635,-15.376448465774926,-161.93455039366992
32.80181168175445,-18.93813480436837,-163.35975328623744
39.23202842786027,-22.650622173680205,-164.51888561310741
45.90966193228601,-26.505955675010068,-165.3770136481101
52.81804334310645,-30.494511542211853,-165.89966459157688
59.93757667301341,-34.60497602673814,-166.0532297040397
-9.204231500703383,-0.07756184584919547,-151.82743230073265
-4.749088209765002,-2.7418873563131356,-154.26721603646573
0.0,-5.5737972942549785,-156.64074359632502
5.0440663340945795,-8.572757449684167,-158.91667250434472
10.382338819969922,-11.737143824577682,-161.0623883585184
16.01196754203998,-15.064091237201936,-163.04418024226248
21.927779396372703,-18.549359830269413,-164.82747125853868
28.122065877169472,-22.187222487833292,-166.37709913125397
34.584408994629975,-25.97037587450403,-167.65764035682517
41.301549691921274,-29.88987734228495,-168.6337701405209
48.25730215366008,-33.9351093517922,-169.2706493953563
55.43251626370687,-38.09377237615275,-169.53432946171233
-14.23788304906642,-2.8977022592280997,-153.83847581935294
-9.789429046840844,-5.6519294954063355,-156.4109184815822
-5.0440663340945795,-8.572757449684167,-158.91667250434472
0.0,-11.65893467020167,-161.3240824894533
5.342731464984132,-14.90805858020768,-163.600211596606
10.981985346893339,-18.316432254935798,-165.7110233077216
16.91327046432838,-21.878940450372852,-167.621617250981
23.12953505250364,-25.588947709559957,-169.29651384765867
29.62099188353805,-29.43822101689655,-170.69998115678342
36.374984991642926,-33.416878959618195,-171.79639612641273
43.37590140816495,-37.51336873588177,-172.55063158378422
50.60513020454,-41.71447167000866,-172.92845974571662
-19.556939669419965,-5.88642581292968,-155.72198499851083
-15.119549403830732,-8.72927591832755,-158.4256982315619
-10.382338819969922,-11.737143824577682,-161.0623883585184
-5.342731464984132,-14.90805858020768,-163.600211596606
0.0,-18.238847151322652,-166.0060366560052
5.64446501104789,-21.725000030693735,-168.24562981883813
11.586911570314657,-25.36055706567318,-170.28389265657117
17.8210134991512,-29.138016109568838,-172.08514711778375
24.33769355730455,-33.04826670544068,-173.6134614247587
31.12498679136958,-37.080550481908276,-174.83300914360805
38.16794755324147,-41.22244932415807,-175.7084529957914
45.44860257900126,-45.459901726312296,-176.2053444853228
-25.157267480716207,-9.042533157385526,-157.44524167977238
-20.735936224532807,-11.971898361132958,-160.2782877821593
-16.01196754203998,-15.064091237201936,-163.04418024226248
-10.981985346893339,-18.316432254935798,-165.7110233077216
-5.64446501104789,-21.725000030693735,-168.24562981883813
0.0,-25.284506043993865,-170.61370627452249
5.948455029457016,-28.988190122684795,-172.78008882554812
12.19537011403522,-32.82773905928236,-174.70902505563296
18.732459874100275,-36.7932303090121,-176.36449522713815
25.54854176183876,-40.87310219719101,-177.7105656920476
32.62943616731613,-45.05415147318278,-178.7117664466691
39.95791091585707,-49.32155843221034,-179.33348435803651
-31.032493453184372,-12.363569624843475,-158.97465589394372
-26.632789982686635,-15.376448465774926,-161.93455039366992
-21.927779396372703,-18.549359830269413,-164.82747125853868
-16.91327046432838,-21.878940450372852,-167.621617250981
-11.586911570314657,-25.36055706567318,-170.28389265657117
-5.948455029457016,-28.988190122684795,-172.78008882554812
0.0,-32.7543383619597,-175.07511471238203
6.253791318313935,-36.649946411267116,-177.133271563116
12.805509130821038,-40.664357099731596,-178.91856583608993
19.64484747532086,-44.78528971400501,-180.39505356396958
26.758495208977813,-48.99884487280611,-181.52720870981028
34.13006927594992,-53.28953613682304,-182.28030764778825
-37.173791000397884,-15.845692581657522,-160.27602862465065
-32.80181168175445,-18.93813480436837,-163.35975328623744
-28.122065877169472,-22.187222487833292,-166.37709913125397
-23.12953505250364,-25.588947709559957,-169.29651384765867
-17.8210134991512,-29.138016109568838,-172.08514711778375
-12.19537011403522,-32.82773905928236,-174.70902505563296
-6.253791318313935,-36.649946411267116,-177.133271563116
0.0,-40.59492172142788,-179.3223721974527
6.559554326453891,-44.65136146199476,-181.2404752028017
13.415538451968509,-48.80635929849315,-182.85172357805075
20.55561516584118,-53.04541602078954,-184.12061145644302
27.964362653360947,-57.352475227297916,-185.0123576661273
-43.56970416018911,-19.483559308354454,-161.3148603661869
-39.23202842786027,-22.650622173680205,-164.51888561310741
-34.584408994629975,-25.97037587450403,-167.65764035682517
-29.62099188353805,-29.43822101689655,-170.69998115678342
-24.33769355730455,-33.04826670544068,-173.6134614247587
-18.732459874100275,-36.7932303090121,-176.36449522713815
-12.805509130821038,-40.664357099731596,-178.91856583608993
-6.559554326453891,-44.65136146199476,-181.2404752028017
0.0,-48.742391044302096,-183.2946297138266
6.864890619880926,-52.92401484595136,-185.04535690423745
